Localitate,Judet,Comuna,KM
Sohodol,Brasov,Bran,0
Poiana Brasov,Brasov,Brasov,0
Budila,Brasov,Budila,0
Codlea,Brasov,Codlea,0
Comana,Brasov,Comana,0
Comana de Jos,Brasov,Comana,0
Comana de Sus,Brasov,Comana,0
Crihalma,Brasov,Comana,0
Ticusu Nou,Brasov,Comana,0
Cristian,Brasov,Cristian,0
Crizbav,Brasov,Crizbav,0
Dragus,Brasov,Dragus,0
Colonia Reconstructia,Brasov,Feldioara,0
Rotbav,Brasov,Feldioara,0
Ghimbav,Brasov,Ghimbav,0
Halchiu,Brasov,Halchiu,0
Satu Nou,Brasov,Halchiu,0
Harman,Brasov,Harman,0
Podu Oltului,Brasov,Harman,0
Copacel,Brasov,Harseni,0
Harseni,Brasov,Harseni,0
Malinis,Brasov,Harseni,0
Margineni,Brasov,Harseni,0
Sebes,Brasov,Harseni,0
Bogata Olteana,Brasov,Hoghiz,0
Cuciulata,Brasov,Hoghiz,0
Dopca,Brasov,Hoghiz,0
Fantana,Brasov,Hoghiz,0
Hoghiz,Brasov,Hoghiz,0
Lupsa,Brasov,Hoghiz,0
Breaza,Brasov,Lisa,0
Lisa,Brasov,Lisa,0
Pojorta,Brasov,Lisa,0
Ileni,Brasov,Mandra,0
Mandra,Brasov,Mandra,0
Rausor,Brasov,Mandra,0
Sona,Brasov,Mandra,0
Toderita,Brasov,Mandra,0
Grid,Brasov,Parau,0
Parau,Brasov,Parau,0
Venetia de Jos,Brasov,Parau,0
Venetia de Sus,Brasov,Parau,0
Paraul Rece,Brasov,Predeal,0
Predeal,Brasov,Predeal,0
Timisu de Jos,Brasov,Predeal,0
Timisu de Sus,Brasov,Predeal,0
Lunca Calnicului,Brasov,Prejmer,0
Prejmer,Brasov,Prejmer,0
Stupinii Prejmerului,Brasov,Prejmer,0
Rasnov,Brasov,Rasnov,0
Rasnov Romacril,Brasov,Rasnov,0
Berivoi,Brasov,Recea,0
Dejani,Brasov,Recea,0
Gura Vaii,Brasov,Recea,0
Iasi,Brasov,Recea,0
Recea,Brasov,Recea,0
Sasciori,Brasov,Recea,0
Savastreni,Brasov,Recea,0
Sacele,Brasov,Sacele,0
Sambata de Sus,Brasov,Sambata de Sus,0
Statiunea Climaterica Sambata,Brasov,Sambata de Sus,0
Sanpetru,Brasov,Sanpetru,0
Halmeag,Brasov,Sercaia,0
Sercaia,Brasov,Sercaia,0
Vad,Brasov,Sercaia,0
Carpinis,Brasov,Tarlungeni,0
Purcareni,Brasov,Tarlungeni,0
Tarlungeni,Brasov,Tarlungeni,0
Corbi,Brasov,Ucea,0
Feldioara,Brasov,Ucea,0
Ucea,Brasov,Ucea,0
Ucea de Jos,Brasov,Ucea,0
Ucea de Sus,Brasov,Ucea,0
Victoria,Brasov,Victoria,0
Oltet,Brasov,Vistea,0
Rucar,Brasov,Vistea,0
Vistea,Brasov,Vistea,0
Vistea de Jos,Brasov,Vistea,0
Vistea de Sus,Brasov,Vistea,0
Vistisoara,Brasov,Vistea,0
Dridif,Brasov,Voila,0
Ludisor,Brasov,Voila,0
Sambata de Jos,Brasov,Voila,0
Voila,Brasov,Voila,0
Voivodeni,Brasov,Voila,0
Vulcan,Brasov,Vulcan,0
Zarnesti,Brasov,Zarnesti,0
Feldioara,Brasov,Feldioara,0
Baceni,Buzau,Berca,0
Berca,Buzau,Berca,0
Cojanu,Buzau,Berca,0
Joseni,Buzau,Berca,0
Manastirea Ratesti,Buzau,Berca,0
Paclele,Buzau,Berca,0
Plescoi,Buzau,Berca,0
Plesesti,Buzau,Berca,0
Ratesti,Buzau,Berca,0
Satuc,Buzau,Berca,0
Tatarligu,Buzau,Berca,0
Valea Nucului,Buzau,Berca,0
Blajani,Buzau,Blajani,0
Soresti,Buzau,Blajani,0
Bascenii de Jos,Buzau,Calvini,0
Bascenii de Sus,Buzau,Calvini,0
Calvini,Buzau,Calvini,0
Olari,Buzau,Calvini,0
Canesti,Buzau,Canesti,0
Aldeni,Buzau,Cernatesti,0
Baesti,Buzau,Cernatesti,0
Caldarusa,Buzau,Cernatesti,0
Cernatesti,Buzau,Cernatesti,0
Fulga,Buzau,Cernatesti,0
Manasia,Buzau,Cernatesti,0
Vladeni,Buzau,Cernatesti,0
Zarnestii de Slanic,Buzau,Cernatesti,0
Barasti,Buzau,Cislau,0
Cislau,Buzau,Cislau,0
Boboc,Buzau,Cochirleanca,0
Cochirleanca,Buzau,Cochirleanca,0
Gara Bobocu,Buzau,Cochirleanca,0
Rosioru,Buzau,Cochirleanca,0
Tarlele,Buzau,Cochirleanca,0
Budisteni,Buzau,Costesti,0
Costesti,Buzau,Costesti,0
Gomoesti,Buzau,Costesti,0
Grosani,Buzau,Costesti,0
Pietrosu,Buzau,Costesti,0
Spataru,Buzau,Costesti,0
Florica,Buzau,Florica,0
Bentu,Buzau,Galbinasi,0
Galbinasi,Buzau,Galbinasi,0
Tabarasti,Buzau,Galbinasi,0
Gheraseni,Buzau,Gheraseni,0
Suditi,Buzau,Gheraseni,0
Grebanu,Buzau,Grebanu,0
Homesti,Buzau,Grebanu,0
Livada,Buzau,Grebanu,0
Livada Mica,Buzau,Grebanu,0
Plevna,Buzau,Grebanu,0
Zaplazi,Buzau,Grebanu,0
Ciuta,Buzau,Magura,0
Magura,Buzau,Magura,0
Capatanesti,Buzau,Maracineni,0
Maracineni,Buzau,Maracineni,0
Potoceni,Buzau,Maracineni,0
Ciobanoaia,Buzau,Merei,0
Dealu Viei,Buzau,Merei,0
Dobrilesti,Buzau,Merei,0
Gura Saratii,Buzau,Merei,0
Izvoru Dulce,Buzau,Merei,0
Lipia,Buzau,Merei,0
Merei,Buzau,Merei,0
Nenciulesti,Buzau,Merei,0
Ograzile,Buzau,Merei,0
Sarata-Monteoru,Buzau,Merei,0
Valea Putului Merei,Buzau,Merei,0
Coltaneni,Buzau,Mihailesti,0
Margineanu,Buzau,Mihailesti,0
Mihailesti,Buzau,Mihailesti,0
Satu Nou,Buzau,Mihailesti,0
Cioranca,Buzau,Movila Banului,0
Limpezis,Buzau,Movila Banului,0
Movila Banului,Buzau,Movila Banului,0
Batogu,Buzau,Murgesti,0
Murgesti,Buzau,Murgesti,0
Valea Ratei,Buzau,Murgesti,0
Nehoiu,Buzau,Nehoiu,0
Paltineni,Buzau,Nehoiu,0
Badila,Buzau,Parscov,0
Curcanesti,Buzau,Parscov,0
Lunca Frumoasa,Buzau,Parscov,0
Olesesti,Buzau,Parscov,0
Parjolesti,Buzau,Parscov,0
Parscov,Buzau,Parscov,0
Robesti,Buzau,Parscov,0
Runcu,Buzau,Parscov,0
Tarcov,Buzau,Parscov,0
Tocileni,Buzau,Parscov,0
Trestieni,Buzau,Parscov,0
Valea Purcarului,Buzau,Parscov,0
Calea Chiojdului,Buzau,Patarlagele,0
Crang,Buzau,Patarlagele,0
Fundaturile,Buzau,Patarlagele,0
Gornet,Buzau,Patarlagele,0
Lunca,Buzau,Patarlagele,0
Manastirea,Buzau,Patarlagele,0
Maruntisu,Buzau,Patarlagele,0
Muscel,Buzau,Patarlagele,0
Patarlagele,Buzau,Patarlagele,0
Poienile,Buzau,Patarlagele,0
Sibiciu de Sus,Buzau,Patarlagele,0
Stroesti,Buzau,Patarlagele,0
Valea Lupului,Buzau,Patarlagele,0
Valea Sibiciului,Buzau,Patarlagele,0
Valea Viei,Buzau,Patarlagele,0
Caltesti,Buzau,Pietroasele,0
Clondiru de Sus,Buzau,Pietroasele,0
Dara,Buzau,Pietroasele,0
Pietroasa Mica,Buzau,Pietroasele,0
Pietroasele,Buzau,Pietroasele,0
Saranga,Buzau,Pietroasele,0
Cotatcu,Buzau,Podgoria,0
Oratia,Buzau,Podgoria,0
Plesesti,Buzau,Podgoria,0
Podgoria,Buzau,Podgoria,0
Tabacari,Buzau,Podgoria,0
Caldarasti,Buzau,Pogoanele,0
Pogoanele,Buzau,Pogoanele,0
Aliceni,Buzau,Posta Calnau,0
Coconari,Buzau,Posta Calnau,0
Posta Calnau,Buzau,Posta Calnau,0
Potarnichesti,Buzau,Posta Calnau,0
Suditi,Buzau,Posta Calnau,0
Zilisteanca,Buzau,Posta Calnau,0
Colibasi,Buzau,Ramnicelu,0
Fotin,Buzau,Ramnicelu,0
Ramnicelu,Buzau,Ramnicelu,0
Stiubei,Buzau,Ramnicelu,0
Ramnicu Sarat,Buzau,Ramnicu Sarat,0
Matesti,Buzau,Sapoca,0
Sapoca,Buzau,Sapoca,0
Dalma,Buzau,Scortoasa,0
Grabicina de Jos,Buzau,Scortoasa,0
Grabicina de Sus,Buzau,Scortoasa,0
Gura Vaii,Buzau,Scortoasa,0
Plopeasa,Buzau,Scortoasa,0
Policiori,Buzau,Scortoasa,0
Scortoasa,Buzau,Scortoasa,0
Albesti,Buzau,Smeeni,0
Balaia,Buzau,Smeeni,0
Caltuna,Buzau,Smeeni,0
Moisica,Buzau,Smeeni,0
Smeeni,Buzau,Smeeni,0
Udati-Lucieni,Buzau,Smeeni,0
Udati-Manzu,Buzau,Smeeni,0
Stalpu,Buzau,Stalpu,0
Maxenu,Buzau,Tintesti,0
Odaia Banului,Buzau,Tintesti,0
Pogonele,Buzau,Tintesti,0
Tintesti,Buzau,Tintesti,0
Babeni,Buzau,Topliceni,0
Ceairu,Buzau,Topliceni,0
Dedulesti,Buzau,Topliceni,0
Gura Fagetului,Buzau,Topliceni,0
Posta,Buzau,Topliceni,0
Raducesti,Buzau,Topliceni,0
Topliceni,Buzau,Topliceni,0
Baltareti,Buzau,Ulmeni,0
Clondiru,Buzau,Ulmeni,0
Sarata,Buzau,Ulmeni,0
Ulmeni,Buzau,Ulmeni,0
Valcele,Buzau,Ulmeni,0
Unguriu,Buzau,Unguriu,0
Bajani,Buzau,Vadu Pasii,0
Focsanei,Buzau,Vadu Pasii,0
Gura Calnaului,Buzau,Vadu Pasii,0
Scurtesti,Buzau,Vadu Pasii,0
Stancesti,Buzau,Vadu Pasii,0
Vadu Pasii,Buzau,Vadu Pasii,0
Oreavul,Buzau,Valea Ramnicului,0
Rubla,Buzau,Valea Ramnicului,0
Valea Ramnicului,Buzau,Valea Ramnicului,0
Bradeanca,Buzau,Vernesti,0
Candesti,Buzau,Vernesti,0
Carlomanesti,Buzau,Vernesti,0
Mierea,Buzau,Vernesti,0
Nenciu,Buzau,Vernesti,0
Niscov,Buzau,Vernesti,0
Sasenii Noi,Buzau,Vernesti,0
Sasenii pe Vale,Buzau,Vernesti,0
Sasenii Vechi,Buzau,Vernesti,0
Vernesti,Buzau,Vernesti,0
Zoresti,Buzau,Vernesti,0
Viperesti,Buzau,Viperesti,0
Comisoaia,Buzau,Zarnesti,0
Fundeni,Buzau,Zarnesti,0
Pruneni,Buzau,Zarnesti,0
Vadu Soresti,Buzau,Zarnesti,0
Zarnesti,Buzau,Zarnesti,0
Alexandru Odobescu,Calarasi,Alexandru Odobescu,0
Galatui,Calarasi,Alexandru Odobescu,0
Nicolae Balcescu,Calarasi,Alexandru odobescu,0
Belciugatele,Calarasi,Belciugatele,40
Candeasca,Calarasi,Belciugatele,38
Cojesti,Calarasi,Belciugatele,41
Mariuta,Calarasi,Belciugatele,36
Mataraua,Calarasi,Belciugatele,40
Borcea,Calarasi,Borcea,0
Cascioarele,Calarasi,Cascioarele,55
Chirnogi,Calarasi,Chirnogi,60.3
Ciocanesti,Calarasi,Ciocanesti,0
Crivat,Calarasi,Crivat,44.1
Curcani,Calarasi,Curcani,52.4
Salcioara,Calarasi,Curcani,50
Calarasii Vechi,Calarasi,Cuza Voda,0
Ceacu,Calarasi,Cuza Voda,0
Cuza Voda,Calarasi,Cuza Voda,0
Coslogeni,Calarasi,Dichiseni,0
Dichiseni,Calarasi,Dichiseni,0
Satnoeni,Calarasi,Dichiseni,0
Dalga,Calarasi,Dor Marunt,0
Dalga-Gara,Calarasi,Dor Marunt,0
Dor Marunt,Calarasi,Dor Marunt,0
Infratirea,Calarasi,Dor Marunt,0
Ogoru,Calarasi,Dor Marunt,0
Pelinu,Calarasi,Dor Marunt,0
Dorobantu,Calarasi,Dorobantu,0
Varasti,Calarasi,Dorobantu,0
Ciulnita-Gara,Calarasi,Dragalina,0
Constantin Brancoveanu,Calarasi,Dragalina,0
Dragalina,Calarasi,Dragalina,0
Drajna Noua,Calarasi,Dragalina,0
Bogdana,Calarasi,Dragos Voda,0
Dragos Voda,Calarasi,Dragos Voda,0
Danesti,Calarasi,Frasinet,0
Frasinet,Calarasi,Frasinet,0
Frasinetu de Jos,Calarasi,Frasinet,0
Luptatori,Calarasi,Frasinet,0
Tariceni,Calarasi,Frasinet,0
Frumusani,Calarasi,Frumusani,0
Orasti,Calarasi,Frumusani,0
Pasarea,Calarasi,Frumusani,0
Pitigaia,Calarasi,Frumusani,0
Postavari,Calarasi,Frumusani,0
Fundeni,Calarasi,Fundeni,0
Alexandru Ioan Cuza,Calarasi,Fundulea,29
Fundulea,Calarasi,Fundulea,28
Gostilele,Calarasi,Fundulea,32
Galbinasi,Calarasi,Galbinasi,0
Gradistea,Calarasi,Gradistea,0
Rasa,Calarasi,Gradistea,0
Codreni,Calarasi,Gurbanesti,0
Cotofanca,Calarasi,Gurbanesti,0
Gurbanesti,Calarasi,Gurbanesti,0
Preasna,Calarasi,Gurbanesti,0
Preasna Veche,Calarasi,Gurbanesti,0
Florica,Calarasi,Ileana,0
Ileana,Calarasi,Ileana,0
Podari,Calarasi,Ileana,0
Rasurile,Calarasi,Ileana,0
Razoarele,Calarasi,Ileana,0
Satu Nou,Calarasi,Ileana,0
Stefanesti,Calarasi,Ileana,0
Independenta,Calarasi,Independenta,0
Visinii,Calarasi,Independenta,0
Galdau,Calarasi,Jegalia,0
Jegalia,Calarasi,Jegalia,0
Lehliu,Calarasi,Lehliu,0
Sapunari,Calarasi,Lehliu,0
Buzoeni,Calarasi,Lehliu-Gara,0
Lehliu-Gara,Calarasi,Lehliu-gara,0
Razvani,Calarasi,Lehliu-Gara,0
Valea Seaca,Calarasi,Lehliu-Gara,0
Luica,Calarasi,Luica,51.4
Valea Stanii,Calarasi,Luica,0
Lupsanu,Calarasi,Lupsanu,0
Nucetu,Calarasi,Lupsanu,0
Radu Voda,Calarasi,Lupsanu,0
Valea Rusului,Calarasi,Lupsanu,0
Coconi,Calarasi,Manastirea,0
Manastirea,Calarasi,Manastirea,0
Sultana,Calarasi,Manastirea,0
Clatesti,Calarasi,Mitreni,58.9
Mitreni,Calarasi,Mitreni,56.2
Valea Rosie,Calarasi,Mitreni,59.3
Modelu,Calarasi,Modelu,0
Radu Negru,Calarasi,Modelu,0
Stoenesti,Calarasi,Modelu,0
Tonea,Calarasi,Modelu,0
Fantana Doamnei,Calarasi,Nicolae Balcescu,0
Nicolae Balcescu,Calarasi,Nicolae balcescu,0
Paicu,Calarasi,Nicolae Balcescu,0
Marculesti-Gara,Calarasi,Perisoru,0
Perisoru,Calarasi,Perisoru,0
Tudor Vladimirescu,Calarasi,Perisoru,0
Cucuieti,Calarasi,Plataresti,0
Dorobantu,Calarasi,Plataresti,0
Plataresti,Calarasi,Plataresti,0
Podu Pitarului,Calarasi,Plataresti,0
Radovanu,Calarasi,Radovanu,50
Valea Popii,Calarasi,Radovanu,54.6
Roseti,Calarasi,Roseti,0
Progresu,Calarasi,Sohatu,0
Sohatu,Calarasi,Sohatu,0
Negoesti,Calarasi,Soldanu,43.6
Soldanu,Calarasi,Soldanu,45.9
Stefan Voda,Calarasi,Stefan Voda,0
Chirnogi,Calarasi,Ulmu,0
Oltina,Calarasi,Unirea,0
Unirea,Calarasi,Unirea,0
Floroaica,Calarasi,Valcelele,0
Valcelele,Calarasi,Valcelele,0
Nuci,Calarasi,Vasilati,0
Popesti,Calarasi,Vasilati,78
Vasilati,Calarasi,Vasilati,0
Mihai Viteazu,Calarasi,Vlad Tepes,0
Vlad Tepes,Calarasi,Vlad Tepes,0
Berzovia,Caras-Severin,Berzovia,0
Ghertenis,Caras-Severin,Berzovia,0
Bocsa,Caras-Severin,Bocsa,0
Apadia,Caras-Severin,Brebu,0
Brebu,Caras-Severin,Brebu,0
Valeadeni,Caras-Severin,Brebu,0
Caransebes,Caras-Severin,Caransebes,0
Jupa,Caras-Severin,Caransebes,0
Carasova,Caras-Severin,Carasova,0
Iabalcea,Caras-Severin,Carasova,0
Nermed,Caras-Severin,Carasova,0
Binis,Caras-Severin,Doclin,0
Ezeris,Caras-Severin,Ezeris,0
Soceni,Caras-Severin,Ezeris,0
Farliug,Caras-Severin,Farliug,0
Garliste,Caras-Severin,Goruia,0
Giurgiova,Caras-Severin,Goruia,0
Goruia,Caras-Severin,Goruia,0
Gradinari,Caras-Severin,Gradinari,0
Greoni,Caras-Severin,Gradinari,0
Clocotici,Caras-Severin,Lupac,0
Lupac,Caras-Severin,Lupac,0
Rafnic,Caras-Severin,Lupac,0
Vodnic,Caras-Severin,Lupac,0
Iaz,Caras-Severin,Obreja,51
Cornutel,Caras-Severin,Paltinis,0
Ohabita,Caras-Severin,Paltinis,0
Paltinis,Caras-Severin,Paltinis,0
Calnic,Caras-Severin,Resita,0
Cuptoare,Caras-Severin,Resita,0
Doman,Caras-Severin,Resita,0
Moniom,Caras-Severin,Resita,0
Secu,Caras-Severin,Resita,0
Terova,Caras-Severin,Resita,0
Ticvaniu Mare,Caras-Severin,Ticvaniu Mare,0
Aghiresu,Cluj,Aghiresu,0
Aghiresu-Fabrici,Cluj,Aghiresu,0
Bagara,Cluj,Aghiresu,0
Doroltu,Cluj,Aghiresu,0
Inucu,Cluj,Aghiresu,0
Leghia,Cluj,Aghiresu,0
Macau,Cluj,Aghiresu,0
Alunis,Cluj,Alunis,0
Corneni,Cluj,Alunis,0
Ghirolt,Cluj,Alunis,0
Pruneni,Cluj,Alunis,0
Vale,Cluj,Alunis,0
Apahida,Cluj,Apahida,0
Dezmir,Cluj,Apahida,0
Sannicoara,Cluj,Apahida,0
Baciu,Cluj,Baciu,0
Corusu,Cluj,Baciu,0
Mera,Cluj,Baciu,0
Popesti,Cluj,Baciu,0
Radaia,Cluj,Baciu,0
Salistea Noua,Cluj,Baciu,0
Suceagu,Cluj,Baciu,0
Babdiu,Cluj,Bobalna,0
Blidaresti,Cluj,Bobalna,0
Bobalna,Cluj,Bobalna,0
Cremenea,Cluj,Bobalna,0
Maia,Cluj,Bobalna,0
Osorhel,Cluj,Bobalna,0
Razbuneni,Cluj,Bobalna,0
Suaras,Cluj,Bobalna,0
Valcelele,Cluj,Bobalna,0
Bontida,Cluj,Bontida,0
Coasta,Cluj,Bontida,0
Rascruci,Cluj,Bontida,0
Borsa-Crestaia,Cluj,Borsa,0
Barai,Cluj,Caianu,0
Caianu,Cluj,Caianu,0
Caianu Mic,Cluj,Caianu,0
Caianu-Vama,Cluj,Caianu,0
Vaida-Camaras,Cluj,Caianu,0
Valeni,Cluj,Caianu,0
Bogata,Cluj,Calarasi,0
Calarasi,Cluj,Calarasi,0
Calarasi-Gara,Cluj,Calarasi,0
Camarasu,Cluj,Camarasu,0
Naoiu,Cluj,Camarasu,0
Samboleni,Cluj,Camarasu,0
Campia Turzii,Cluj,Campia Turzii,0
Agarbiciu,Cluj,Capusu Mare,0
Balcesti,Cluj,Capusu Mare,0
Capusu Mare,Cluj,Capusu Mare,0
Capusu Mic,Cluj,Capusu Mare,0
Dumbrava,Cluj,Capusu Mare,0
Paniceni,Cluj,Capusu Mare,0
Straja,Cluj,Capusu Mare,0
Caseiu,Cluj,Caseiu,0
Coplean,Cluj,Caseiu,0
Custura,Cluj,Caseiu,0
Garbau Dejului,Cluj,Caseiu,0
Leurda,Cluj,Caseiu,0
Rugasesti,Cluj,Caseiu,0
Salatruc,Cluj,Caseiu,0
Urisor,Cluj,Caseiu,0
Catcau,Cluj,Catcau,0
Muncel,Cluj,Catcau,0
Salisca,Cluj,Catcau,0
Hodaie,Cluj,Catina,0
Valea Calda,Cluj,Catina,0
Andici,Cluj,Ceanu Mare,0
Boian,Cluj,Ceanu Mare,0
Boldut,Cluj,Ceanu Mare,0
Ceanu Mare,Cluj,Ceanu Mare,0
Dosu Napului,Cluj,Ceanu Mare,0
Fanate,Cluj,Ceanu Mare,0
Strucut,Cluj,Ceanu Mare,0
Chinteni,Cluj,Chinteni,0
Deusu,Cluj,Chinteni,0
Padureni,Cluj,Chinteni,0
Salistea Veche,Cluj,Chinteni,0
Satu Lung,Cluj,Chinteni,0
Vechea,Cluj,Chinteni,0
Chiuiesti,Cluj,Chiuiesti,0
Dosu Bricii,Cluj,Chiuiesti,0
Valea Caseielului,Cluj,Chiuiesti,0
Valea lui Opris,Cluj,Chiuiesti,0
Ciurila,Cluj,Ciurila,0
Padureni,Cluj,Ciurila,0
Salicea,Cluj,Ciurila,0
Saliste,Cluj,Ciurila,0
Cara,Cluj,Cojocna,0
Cojocna,Cluj,Cojocna,0
Moristi,Cluj,Cojocna,0
Straja,Cluj,Cojocna,0
Barlea,Cluj,Cornesti,0
Cornesti,Cluj,Cornesti,0
Igritia,Cluj,Cornesti,0
Lujerdiu,Cluj,Cornesti,0
Morau,Cluj,Cornesti,0
Stoiana,Cluj,Cornesti,0
Tiocu de Jos,Cluj,Cornesti,0
Tiocu de Sus,Cluj,Cornesti,0
Tioltiur,Cluj,Cornesti,0
Cuzdrioara,Cluj,Cuzdrioara,0
Manasturel,Cluj,Cuzdrioara,0
Valea Garboului,Cluj,Cuzdrioara,0
Dabaca,Cluj,Dabaca,0
Luna de Jos,Cluj,Dabaca,0
Paglisa,Cluj,Dabaca,0
Ocna Dejului,Cluj,Dej,0
Pestera,Cluj,Dej,0
Pintic,Cluj,Dej,0
Somcutu Mic,Cluj,Dej,0
Casele Micesti,Cluj,Feleacu,0
Feleacu,Cluj,Feleacu,0
Gheorghieni,Cluj,Feleacu,0
Saradis,Cluj,Feleacu,0
Valcele,Cluj,Feleacu,0
Bont,Cluj,Fizesu Gherlii,0
Fizesu Gherlii,Cluj,Fizesu Gherlii,0
Nicula,Cluj,Fizesu Gherlii,0
Sacalaia,Cluj,Fizesu Gherlii,0
Floresti,Cluj,Floresti,0
Luna de Sus,Cluj,Floresti,0
Tauti,Cluj,Floresti,0
Olariu,Cluj,Frata,0
Padurea Iacobeni,Cluj,Frata,0
Soporu de Campie,Cluj,Frata,0
Cornesti,Cluj,Garbau,0
Garbau,Cluj,Garbau,0
Nadaselu,Cluj,Garbau,0
Turea,Cluj,Garbau,0
Vistea,Cluj,Garbau,0
Chiris,Cluj,Geaca,0
Geaca,Cluj,Geaca,0
Lacu,Cluj,Geaca,0
Legii,Cluj,Geaca,0
Puini,Cluj,Geaca,0
Sucutard,Cluj,Geaca,0
Baita,Cluj,Gherla,0
Gherla,Cluj,Gherla,0
Hasdate,Cluj,Gherla,0
Silivas,Cluj,Gherla,0
Gilau,Cluj,Gilau,0
Somesu Cald,Cluj,Gilau,0
Somesu Rece,Cluj,Gilau,0
Bicalatu,Cluj,Huedin,0
Huedin,Cluj,Huedin,0
Buru,Cluj,Iara,0
Surduc,Cluj,Iara,0
Valea Vadului,Cluj,Iara,0
Fundatura,Cluj,Iclod,0
Iclod,Cluj,Iclod,0
Iclozel,Cluj,Iclod,0
Livada,Cluj,Iclod,0
Orman,Cluj,Iclod,0
Izvoru Crisului,Cluj,Izvoru Crisului,0
Nadasu,Cluj,Izvoru Crisului,0
Nearsova,Cluj,Izvoru Crisului,0
Saula,Cluj,Izvoru Crisului,0
Codor,Cluj,Jichisu de Jos,0
Jichisu de Jos,Cluj,Jichisu de Jos,0
Jichisu de Sus,Cluj,Jichisu de Jos,0
Sigau,Cluj,Jichisu de Jos,0
Tarpiu,Cluj,Jichisu de Jos,0
Gadalin,Cluj,Jucu,0
Juc-Herghelie,Cluj,Jucu,0
Jucu,Cluj,Jucu,0
Jucu de Mijloc,Cluj,Jucu,0
Jucu de Sus,Cluj,Jucu,0
Visea,Cluj,Jucu,0
Luna,Cluj,Luna,0
Luncani,Cluj,Luna,0
Ardeova,Cluj,Manastireni,0
Bedeciu,Cluj,Manastireni,0
Dretea,Cluj,Manastireni,0
Manasturu Romanesc,Cluj,Manastireni,0
Dambu Mare,Cluj,Mica,0
Manastirea,Cluj,Mica,0
Mica,Cluj,Mica,0
Nires,Cluj,Mica,0
Sanmarghita,Cluj,Mica,0
Valea Ciresoii,Cluj,Mica,0
Valea Luncii,Cluj,Mica,0
Cheia,Cluj,Mihai Viteazu,0
Cornesti,Cluj,Mihai Viteazu,0
Mihai Viteazu,Cluj,Mihai Viteazu,0
Bunesti,Cluj,Mintiu Gherlii,0
Mintiu Gherlii,Cluj,Mintiu Gherlii,0
Nima,Cluj,Mintiu Gherlii,0
Padurenii,Cluj,Mintiu Gherlii,0
Petresti,Cluj,Mintiu Gherlii,0
Salatiu,Cluj,Mintiu Gherlii,0
Boteni,Cluj,Mociu,0
Chesau,Cluj,Mociu,0
Criseni,Cluj,Mociu,0
Falca,Cluj,Mociu,0
Ghirisu Roman,Cluj,Mociu,0
Mociu,Cluj,Mociu,0
Rosieni,Cluj,Mociu,0
Turmasi,Cluj,Mociu,0
Zorenii de Vale,Cluj,Mociu,0
Badeni,Cluj,Moldovenesti,0
Moldovenesti,Cluj,Moldovenesti,0
Pietroasa,Cluj,Moldovenesti,0
Plaiesti,Cluj,Moldovenesti,0
Podeni,Cluj,Moldovenesti,0
Stejeris,Cluj,Moldovenesti,0
Bagaciu,Cluj,Palatca,0
Muresenii de Campie,Cluj,Palatca,0
Palatca,Cluj,Palatca,0
Cublesu Somesan,Cluj,Panticeu,0
Darja,Cluj,Panticeu,0
Panticeu,Cluj,Panticeu,0
Craesti,Cluj,Petrestii de Jos,0
Deleni,Cluj,Petrestii de Jos,0
Livada,Cluj,Petrestii de Jos,0
Petrestii de Jos,Cluj,Petrestii de Jos,0
Petrestii de Mijloc,Cluj,Petrestii de Jos,0
Petrestii de Sus,Cluj,Petrestii de Jos,0
Plaiuri,Cluj,Petrestii de Jos,0
Lobodas,Cluj,Ploscos,0
Ploscos,Cluj,Ploscos,0
Alunisu,Cluj,Sancraiu,0
Braisoru,Cluj,Sancraiu,0
Domosu,Cluj,Sancraiu,0
Horlacea,Cluj,Sancraiu,0
Sancraiu,Cluj,Sancraiu,0
Copaceni,Cluj,Sandulesti,0
Sandulesti,Cluj,Sandulesti,0
Diviciorii Mari,Cluj,Sanmartin,0
Diviciorii Mici,Cluj,Sanmartin,0
Samboieni,Cluj,Sanmartin,0
Sanmartin,Cluj,Sanmartin,0
Targusor,Cluj,Sanmartin,0
Mihaiesti,Cluj,Sanpaul,0
Sanpaul,Cluj,Sanpaul,0
Sardu,Cluj,Sanpaul,0
Sumurducu,Cluj,Sanpaul,0
Topa Mica,Cluj,Sanpaul,0
Finisel,Cluj,Savadisla,0
Hasdate,Cluj,Savadisla,0
Lita,Cluj,Savadisla,0
Liteni,Cluj,Savadisla,0
Savadisla,Cluj,Savadisla,0
Stolna,Cluj,Savadisla,0
Valisoara,Cluj,Savadisla,0
Vlaha,Cluj,Savadisla,0
Sic,Cluj,Sic,0
Aruncuta,Cluj,Suatu,0
Damburile,Cluj,Suatu,0
Suatu,Cluj,Suatu,0
Nasal,Cluj,Taga,0
Santejude,Cluj,Taga,0
Santejude-Vale,Cluj,Taga,0
Santioana,Cluj,Taga,0
Taga,Cluj,Taga,0
Colonia,Cluj,Tritenii de Jos,0
Padurenii,Cluj,Tritenii de Jos,0
Tritenii de Jos,Cluj,Tritenii de Jos,0
Tritenii de Sus,Cluj,Tritenii de Jos,0
Tritenii-Hotar,Cluj,Tritenii de Jos,0
Ceanu Mic,Cluj,Tureni,0
Comsesti,Cluj,Tureni,0
Martinesti,Cluj,Tureni,0
Micesti,Cluj,Tureni,0
Tureni,Cluj,Tureni,0
Batin,Cluj,Unguras,0
